State,DISTRICT
NV,3 OPEN- RACE
NV,3 OPEN- RACE
NV,3 OPEN- RACE
NV,3 OPEN- RACE
NV,4  OPEN-RACE
NH,1 OPEN-RACE
NH,1 OPEN-RACE
NH,2
NJ,
NJ,1
NJ,2 OPEN-RACE
NJ,3
NJ,4
NJ,5
NJ,6
NJ,7
NJ,7
NJ,7
NJ,9
NJ,10
NJ,11
NJ,11
NJ,12
NM,
NM,1 - OPEN RACE
NM,1 - OPEN RACE
NM,1 - OPEN RACE
NM,1 - OPEN RACE
NM,2 - OPEN RACE
NM,2 - OPEN RACE
NY,
NY,1
NY,1
NY,1
NY,2
NY,3
NY,4
NY,5
NY,6
NY,7
NY,8
NY,9
NY,10
NY,11
NY,12
NY,13
NY,14
NY,15
NY,16
NY,17
NY,18
NY,19
NY,20
NY,21
NY,21
NY,21
NY,21
NY,21
NY,22
NY,23
NY,23
NY,24
NY,24
NY,25
NY,26
NY,27
NC,1
NC,2
NC,2
NC,3
NC,4
NC,5
NC,5
NC,5
NC,6
NC,7
NC,8
NC,9
NC,10
NC,11
NC,12
NC,13
ND,
ND,
OH,
OH,1
OH,2
OH,3
OH,4
OH,5
OH,6
OH,7
OH,8
OH,9
OH,10
OH,11
OH,11
OH,12 OPEN-RACE
OH,12 OPEN-RACE
OH,13
OH,14
OH,15
OH,16 OPEN-RACE
OK,1
OK,2
OK,3
OK,4
OK,5
OR,1
OR,2
OR,3
OR,4
OR,5
PA,
PA,
PA,1
PA,2
PA,3
PA,4
PA,5
PA,6
PA,7
PA,7
PA,8
PA,8
PA,9
PA,10
PA,11
PA,12
PA,13
PA,14
PA,15 OPEN-RACE
PA,16
PA,16
PA,17
PA,18  SPECIAL-ELECTION
PA,18  SPECIAL-ELECTION
PA,18  SPECIAL-ELECTION
RI,
RI,1
RI,2
SC,1
SC,2
SC,3
SC,4
SC,5
SC,5
SC,6
SC,7
SD,OPEN-RACE
TN,OPEN-RACE
TN,
TN,
TN,2 - OPEN RACE
TN,
TN,
TN,
TN,6  OPEN-RACE
TN,7 OPEN-RACE
TN,8
TN,9
TX,
TX,
TX,1
TX,2 OPEN-RACE
TX,2 OPEN-RACE
TX,3 OPEN-RACE
TX,4
TX,5 OPEN-RACE
TX,6 OPEN-RACE
TX,6 OPEN-RACE
TX,6 OPEN-RACE
TX,7
TX,7
TX,7
TX,8
TX,9
TX,10
TX,10
TX,11
TX,12
TX,12
TX,13
TX,14
TX,15
TX,16 OPEN-RACE
TX,16 OPEN-RACE
TX,16 OPEN-RACE
TX,16 OPEN-RACE
TX,16 OPEN-RACE
TX,17
TX,18
TX,18
TX,18
TX,18
TX,19
TX,20
TX,21 OPEN-RACE
TX,21 OPEN-RACE
TX,21 OPEN-RACE
TX,21 OPEN-RACE
TX,21 OPEN-RACE
TX,22
TX,22
TX,23
TX,23
TX,23
TX,24
TX,25
TX,25
TX,26
TX,26
TX,27 - OPEN RACE
TX,28
TX,29
TX,29
TX,30
TX,31
TX,31
TX,32
TX,32
TX,33
TX,34
TX,35
TX,36
UT,
UT,1
UT,2
UT,2
UT,2
UT,2
UT,3 OPEN-RACE
UT,4
UT,4
VT,
VT,at-large
VA,
VA,1
VA,2
VA,2
VA,2
VA,3
VA,4
VA,5
VA,6 OPEN-RACE
VA,7
VA,7
VA,7
VA,7
VA,7
VA,7
VA,8
VA,9
VA,10
VA,10
VA,10
VA,10
VA,10
VA,10
VA,10
VA,11
WA,
WA,
WA,1
WA,10
WA,2
WA,3
WA,3
WA,3
WA,4
WA,5
WA,5
WA,6
WA,7
WA,8
WA,8 - OPEN RACE
WA,8 - OPEN RACE
WA,9 - OPEN RACE
WI,
WI,
WI,
WI,1
WI,2
WI,3
WI,4
WI,5
WI,6
WI,7
WI,8
WV,
WV,1
WV,2
WV,3 - OPEN RACE
WV,3 - OPEN RACE
WY,
WY,
